English name,scientific name,authority,range,order,family,extinct,extinct year
Mauritius Shelduck,Alopochen mauritiana,"(Newton & Gadow, 1893)","formerly Mauritius; extinct, likely since late 1600s",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,xxxx
Reunion Shelduck,Alopochen kervazoi,"(Cowles, 1994)","formerly Réunion; extinct, likely since late 1600s",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,xxxx
Crested Shelduck,Tadorna cristata,"(Kuroda, 1917)","formerly Siberia and Korea; extinct, last reported 1916",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1916
Finsch's Duck,Chenonetta finschi,"(Van Beneden, 1876)","formerly New Zealand; extinct, likely c. 1760",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1760
Amsterdam Duck,Mareca marecula,"(Olson & Jouventin, 1996)","formerly Amsterdam and St. Paul islands; extinct, last reported 1793",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1793
Mauritius Duck,Anas theodori,"Newton & Gadow, 1893",formerly Mauritius and Réunion; extinct,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1710
Pink-headed Duck,Rhodonessa caryophyllacea,"(Latham, 1790)","formerly India and Myanmar; extinct, last reported 1935",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1935
Labrador Duck,Camptorhynchus labradorius,"(Gmelin, 1789)","formerly northeastern North America; extinct, last reported 1875",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1875
Auckland Islands Merganser,Mergus australis,"Hombron & Jacquinot, 1841","formerly Auckland Islands; extinct, last reported 1902",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1.0,1902
New Zealand Quail,Coturnix novaezelandiae,"Quoy & Gaimard, 1832","formerly New Zealand; extinct, last reported 1875",Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",1.0,1875
Himalayan Quail,Ophrysia superciliosa,"(Gray, 1846)","formerly west-central Himalayas; extinct, last reported 1876",Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",1.0,1876
